ulasan,apresiasi,kritik
layan jss di mpp sangat bagus sangat bantu masyarakat,1,0
susah daftar di jjs smart,0,1
3 dulu ya aplikasi bagus cuma usul aja daftar deteksi domisili dan tempat lahir domisili mgk daerah lain tapi lahir dan besar di jogja mohon timbang jadi member aplikasi bagaimana orang lahir di daerah lain tapi domisili saat ini di jogja suwun,1,1
bagi konsultasi siswa masuk ke bagi bank soal download tiap buka masih keder gerak ke atas terus padahal sudah saya gerakin ke bawah jg error lebih sudah oke,1,1
sering update terus tp sama aja masih sering lot bikin simpan banyak lagi tolong baik,0,1
aplikasi yang bagus sayang saya tidak bisa akses beberapa layan karena ktp luar kota walau saya sudah beberapa tahun sini,1,1
aplikasi bagus mungkin bisa cari sedia layan hosting yang lebih baik dan nama agar tidak jadi down ketika banyak user yang akses,1,1
pada saat sy aktivasi pertama kali dapat salah ketik utk nik sehingga sy nyata bagai duduk luar kota yogyakarta harus 3471xxx tp balik 3741xxx untuk betul nik ini bagaimana cara tanpa harus ganti email dan no hp terima kasih,0,1
cctv tidak bisa di play min error cctv nya jadi tidak bisa pantau sikon jalan seperti apa,0,1
jelek dan sering troble jss lihat perintah kota sendiri seperti tidak siap dan kes di paksa dari infrastruktur dukung kualitas sdm untuk kembang dan awat tidak mumpuni di bidang saran depan perintah harus fokus pada skil alam atau terampil dalam rekrut sdm jangan cumua ijasah dan test tulis doank karna teori sama praktek beda jauh depan pemkot harus kaca dari luar negri mereka tidak fokus pada ijasah tapi skil,0,1
tolong baik lagi nyambung wifi buat buka situs situs lai ga bisa trus main youtube aja sulit,0,1
napas kok semua cctv nya gabisa akses jelek bgt kualitas tolong dong perintah jogja dibenerin lagi app ini buat mudah rakyat,0,1
kata smart sevice tapi bagi cctv ga bisa di akses,0,1
cctv ga bisa buka padahal paket lancar jaya ini sih murni dari aplikasi,0,1
aplikasi sangat bantu masyarakat tugas ramah terimakasih,1,0
tolong untuk wifi daerah rt 27 rw 06 sangat jelek bahkan tidak bisa di pakai,0,1
makin mantabs aplikasi jss sekarang makin banyak aplikasi layan makin stabil aplikasi dalam serta tampil yang makin oke punya semangat ya temen-temen moga aplikasi ini manfaat untuk masyarakat umum dan kota jogja pada khusus,1,0
tidak bisa daftar tombol daftar ridak lihat dan tidak bisa di scroll ke bawah mohon baik terima kasih,0,1
mudah moga terus upgrade lagi dengan fitur2 baik ya,1,0
minta tolong baik untuk aplikasi dan sistem utama di tahap daftar trouble sekali,0,1
bintang 3 dlu soal pernah daftar bikin surat mati gak ada notifnya moga yang ini bisa kalau bisa tak kasih bintang 5 segera direspon gih soal kami kaum awam masihh bingung blong koplong,0,1
update aplikasi baru malah susah untuk digunakanpelaporan pajak parkir cetak kode bayar tidak bisa jalan,0,1
aplikasi layan cukup mudah hanya saja respon tugas perlu tingkat trima kasih,1,1
kok pas lagi mau ngeseks wifi nya malah di suruh login padahal saya sudah login akun jss kok jadi ke log out sendiri ya tolong di perbaikin ya,0,1
aplikasi yang sangat manfaat bagi masyarakat kota yogyskarta,1,0
sangat beri cerah dan semangat dalam usaha terimakasih sibakul,1,0
jauh ini baik tp barusan sy coba utk daftar antri puskesmas mau upload foto data diri lgsg close sendiri app nya knp ya tolong dong,1,1
aplikasi yang bukan aplikasi lain shortcut tuju web adress yang arah lalu browser,0,1
untuk bisa lebih tingkat kualitas layan utama masalah jamin konektivitas masih sering masalah,0,1
ok lumayan bantu,1,0
hallo min tolong di respon cepat perihal masalah daftar vaksinasi di aplikasi jss kenapa saya tidak bisa login dan dapat info vaksin di app jss padahal belum bisa tolong baik dan saya belum dapat dosis2 vaksin moderna tolong bantu segera terimakasih,0,1
jadi bug saat geser layar ke bawah tiba tiba kembali lagi ke atas mohon baik,0,1
saya daftar latih syarat yg saya upload sudah lengkap tapi tidak lolos administrasi tidak ada terang berkas mana yg bikin tidak lolos,0,1
suka tapi kok masih ada yg saya klik tapi halaman kosong atau mungkin hpq yg gak suport mohon di tingkat lagi,1,1
ini mau daftar ktp malah nge direct ke website tapi di website arah lagi untuk daftar via aplikasi mubeng2 jal,0,1
saya hendak aju buat kartu cari kerja tetapi telah selesai isi biodata saya dan akan lanjut isi didik formal namun masih kunci dan tidak bisa buka sama sekali dengan kondisi tombol masih merah belum hijau,0,1
susah untuk masuk tiap masuk harus ganti pasword baik layan dong bikikn pusing,0,1
saya dan bapak saya tdk bisa login gara gara dulu pernah login terus hapus sekarang mau login ga bisa lagi giamana cara nya biar bisa login lagi tolong,0,1
parah data gw nggak ada tulis hubung helpdesk untuk di daftar manual eh helpdesk nya dihubungin malah nggak pernah respon nggak niat emang buat layan atau emang belum siap kelas jogja kok layan itnya gin parah,0,1
telah baharu aplikasi malah tdk bisa buka mohon segera baik,0,1
ngurus akta mati sulit datang langsung ke dukcapil suruh daftar dulu lewat jss ini mau gimana sedang jss sendiri banyak masalah bayar yg banyak gih buat developer nya biar kerja bener,0,1
gila parah bgt daftar buat ngurus ubah data aja lama bgt dah coba sampek kali kali tetep aja gak bisa padahal udah pake wifi sampe 2hari parah bgt sampek dateng ke balkot juga ttep gak bsa harus pake jss astagaa gak kelar2 urus,0,1
sayang hanya untuk kota moga depan bisa jangkau wilayah2 yg masuk dalam diy trimksih,0,1
diinstal susah banget bolak balik ke menu telah terinstal aplikasi tidak muncul di layar hp,0,1
jss joss gandoss go online go realtime moga lebih efisien dan efektif manfaat bagi warga jogja moga semua fitur fungsi dan tidak lot ya min semangatt,1,0
sangat bagus dan bantu terus tbah menu menu yg manfaat,1,0
dari beberapa hari yang lalu daftar di akun jss tapi tidak bisa masuk padahal dari lurah arah untuk pakai jss terang selalu nama tidak cocok dengan data duduk terus harus bagaimana kalau seperti ini nama bukan smart service susah terus tugas ngapain mending cara jadul hari jadi,0,1
mau daftar vaksin buat adik saya di aplikasi jss udah login udah klik tombok vaksinasi suruh daftar lewat wa nah udah di wa malah di suruh daftar lewat aplikasi jss lagi buka aplikasi jss juga sering eror eror terus njok masyarakat kon kepiye saya bagai warga sangat kecewa dengan aplikasi jss bukan mudah masyarakat lain malah sulit mohon lebih di baik lagi sekian kritik dari saya moga di lihat di dengar dan di laksana untuk baik aplikasi matur suwun,0,1
ini kok fitur nya bingung kan ya loading nya lama bgt trs kurang jelas juga,0,1
kenapa pas mohon ektp buat yg domisili ktp luar jogja tdk bsa sya cmn mau nunut cetak ulang krna ktp sya rusak dn itu ktny tdk bsa hrus di tmpt kta tinggl sehrus ny bsa lhoo mnrut pak zudan tp lapang nyata putar,0,1
update jss versi 3 0 123 baru wifi free hotspot tidak fungsi d imanapun tolong baik,0,1
applikasi percuma bagai apa cuman di lempar lempar kan ke link lain data masih belum akurat,0,1
aplikasi turut ku simpel dan pendaftarn tgl ikut arah pas sampe lokasi lgs gercep g sample tengah jam lgs dpt gilir,1,0
udah daftar suruh aktivasi ulang udah kirim pesan operator nya online tapi gak ada responnya 3 hari tunggu ga di acc niat ga sih,0,1
aplikasi bagus dan manfaat banget moga kang admin sehat selalu,1,0
rasah gawe aplikasi kemaren suruh lurah ktp gnti stts suruh wa sesuai templek neng nduwur udh wa smpe hrus klik link ikt antri udh dtggu jawabane trnyta zonk owlah suruh lwt aplikasi ini dlu aja lwt wa lebih enak kenapa lwt aplikasi aplikasi aja jelek bgt cri vaksin aja gak prnh dpt akhire lwt rt sistem bobrok skali gais,0,1
gak bisa daftar akun kok minta update susah banget daftar akun padahal penting banget ya weslah,0,1
aplikasi gak guna sudah daftar tp suruh login terus aneh tolong di baik,0,1
baik dan updated sekali mohon lebih cepat untuk responnya,1,1
layan wa helpdesk tidak ada respon dan tidak ada manfaat cantum nomor wa kalau tidak ada jawab,0,1
3 dulu y soal ken cari wifi yg hubung selalu miss atau di maps ad di tempat g ada,0,1
sulit mau login gak jadi aja aah sudah dapat wa tapi di klik gak ada opsi apa,0,1
mau daftar trs mau login tp kk susah gk bisa2 padahal data sudah sesuai kartu identitas,0,1
telah diupgrade malah tidak bisa buka hapus saja tidak manfaat habis kouta saja,0,1
app apa ini susah bgt mau login harus aktivasi ulang2 gabisa2,0,1
banyak sistem yang belum bisa di akses padahal sangat bantu,0,1
mohon maaf ini kenapa aplikasi nya tidak bisa guna ya saya pencet apa yg ada di menu tidak bisa mohon bantu,0,1
bagus dan sangat bantu jauh ini belum ada kendala dalam pengguan aplikasi,1,0
kurang integrasi dgn seluruh sub sistem mksh,0,1
sangat bagus sangat bantu mudah kn dapat kn layan perintah,1,0
urus pindah ktp saja sulit dan arah aplikasi yg seperti tidak siap niate online malah ora efektif,0,1
pernah daftar mau masuk lagi lupa password ngga ada bantu apa gtu biar masuk lagi susahnyaaa,0,1
selalu tingkat layan ke masyarakat dgn cara yang lebih simple dan mudah mtr nwn,1,0
bantu tapi sekarang jjs hotspot saya nggak bisa dipakek diotak-atik nggak ada hasil,1,1
susah aplikasi ngurus apa apa harus online kasi untuk orang2 yang gapunya hp saya datang ke capil suruh download apl ini buka mudah malah sulit dari 3 hr lalu gabisa buka tiap tabnya selalu warna putih tolong untuk pegawai perintah mohon dengan sangat jangan sulit,0,1
menu lapor saya tidak fungsi tidak ada data muncul,0,1
sangat bantu dan tambah wawas,1,0
sangat manfaat bagi kami dan lebih mudah langkah kami untuk ecek data,1,0
keren dan mudah serta cepat tambah informasi,1,0
masih bagus sama aplikasi belum diupdate malah makin eror,1,1
ngirim file tidak bisa alias bug masih ada,0,1
susah utk dftar latih online di wa jg yg blz gk niat slow bgt dan gk diblz,0,1
mau daftar kok susah bgt muter trs ke menu utama,0,1
sangat tarik banyak informasi baru yang bisa oleh,1,0
bintang 3 dulu kok gk bs daftar vaksin ya kata bs dipake tgl 10 juli ini dh tgl 04 oktober gimana cara nya,0,1
aplikasi nya kurang bagus karena tidak bisa pakai wifi,0,1
sudah 4 hari daftar masih muter aja blm bisa masuk aplikasi parah jelekny,0,1
oh iya nyata ada info untuk lokasi vaksinasi plus ada fitur untuk daftar dan boking aku kurang informasi,1,0
aplikasi msh sering trouble jd msh perlu sempurna,0,1
tidak jngn prank lah,0,1
telah diupdate mlh susah bgus an kmrin,0,1
dari nenek ayah ibu dan saya lahir dan tinggal di jogja sejak kecil ktp diy kok di aplikasi baca warga luar kota apkikasinya yg salah atau data dukcapilnya yg salah ya mohon jasa terimakasih,0,1
barusan update kok malah nggak bisa buka surat masuk eoffice nya,0,1
layan sangat muas dan tugas sangat bantu,1,0
selamat untuk aplikasi kota jogja makin maju dan depan dalam layan,1,0
berulang2 isi form sampai mau selesai harus ulang lagi ulang lagi aplikasi ga mutu,0,1
update baru 2 juni 21 aplikasi lot daftar antri puskesmas mental ke halaman beranda saat upload bpjs mohon di benah maturnuwun,0,1
tidak bisa login,0,1
suka banget kayak jogjaku istimewa,1,0
hilang nomor sama hilang email susah ngurusnya ga bisa buat masuk lgi parahhhhhhh,0,1
tangan cepat tapi tingkat lagi biar lebih baik,1,1
saya salut buat layan perintah kota yogyakarta makin baik,1,0
mau daftar gagal terus jawab selalu username dah daftar padahal belum pernah daftar,0,1
mantap aplikasi dan layan saya rubah data ktp satu hari kerja selesai dan esok hari tinggal ambil ktp di mall layan publik timoho mantap pokoke,1,0
untuk buat akun awal selalu gagal di foto ktp apalagi mau guna aplikasi jjs,0,1
dishub layan angkut umum blm ada di aplikasi ini,0,1
ada nya aplikasi jss begitu sangat bantu warga jogja seperti urus ktp kk akta lahir dll demi nyaman warga jogja mohon terus kembang kan,1,0
mohon maaf jika sdh di uodate muncul versi 076 namun tidak keluar presensi sidik jari nya bagaimana solusi nya ya,0,1
gimana ini aplikasi buat lapor tdk bisa lebih simpel yg dulu buat lapor gampang mohon baik,0,1
saya tidak bisa guna fitur wifi pada aplikasi ini saya sudah ikut instruksi tetapi selalu masalah pada jaring padahal koneksi wifi di tempat saya sinyal sangat kencang tetapi sekalipun tidak bisa masuk,0,1
tolong lah untuk daftar puskesmas susah banget daftar tutup melulu padahal masih pagi banget kan aneh aplikasi yang eror atau rusak kalo di puskesmas asli aja masih ada daftar nya,0,1
aplikasi apa kaya gin pencet menu vaksin malah gak bisa malah keluar lagi ana it nya pada bodoh bgt kerja nya bikin aplikasi kaya gin main gak ada serius nya gimana depok mau bagus tikus das nya kaya gtu dan anak it nya juga gak becus,0,1
aplikasi sering keluar sendiri knp itu ya pdhl mw dftr online nih kl daftar offline selalu abis kuota,0,1
sangat bantu tp ko sayang silondo muter2 terus ga bisa tolong di baik,1,1
kenapa pada saat saya ingin daftar vaksin tanggal lahir tidak tera jelas hanya kosong saja jadi susah untuk isi tanggal lahir saya ingin vaksin,0,1
anak harus imunisasi tpi harus daftar online tapi aplikasi nya ga bisa di pake tiap mau daftar keluar mulu g guna bgt aplikasi nya,0,1
bantu n mudah untuk bayar pajak hak usah repot2 bawa duit lebih karena kita udah tahu besar apa kita harus bayar pajak,1,0
sangat mudah laku daftar tanpa antri dari pagi tuk dapat kuota,1,0
ini aplikasi yg lengkap dan bagus bantu akses informasi yg butuh masuk untuk daftar online di puskesmas tapi sayang aplikasi sering eror jadi suka keluar dengan sendiri kalau lg eror harus di uninstal lebih dahulu kemudian di instal kembali untuk bisa akses aplikasi ini mohon ke depan bisa di baik terimakasih,1,1
aplikasi tdk bisa buka tolong baik lg,0,1
mau daftar puskesmas klik daftar online auto keluar aplikasi terus payah harus bgt ya itu gambar depan muka walikotanya,0,1
aplikasi ini bagus dan sangat bantu tapi sayang suka error dan ga bisa di buka tolong di baik lg,1,1
apk bagus daftar puskesmas dan rsud bisa online gak khawatir habis no antri edit apk gak bisa buka tolong baik lagi,1,1
bagus aplikasi hanya agak lama klo kita perlu daftar buru2 g bisa,1,1
apknya ga bisa dipake kalo mau klik link selalu ga buka tolong di baik lagi apknya,0,1
daftar kds atau bansos lain baik bisa lalu dsw tugas siap verifikasi dari data yang masuk karena sekarang tiap orang sudah satu nik,0,1
download formulir pada aplikasi ini ga bisa buka padahal udah dimasukin email dan password nya kali mhon tingkat layan moga makin sukses utk depok,0,1
sangat kecewa antri selalu habis padahal daftar dari jam 12 malem masa ga prnh dpt kuota harus lebih dri 10,0,1
aplikasi blank tidak bisa guna sama sekali,0,1
mau daftar online supaya mudah,1,0
banyak bug sering error padahal jaring bagus ini gimana sih harus mudah masyarakat untuk akses fasilitas misal layan sehat malah jadi tambah sulit karena sering error apk ini tolong dong baik agar masyarakat lebih nyaman guna,0,1
aplikasi yang sangat bantu dengan ada layan tambah transportasi khusus di terminal tipe a jatijajar mudah untuk kece jadwal berangkat bus dan beli tiket mantap,1,0
kacau nih aplikasi buka ya susah banget sekali masuk tiba2 keluar dengan sendiri,0,1
keluar terus mau daftar onlen ke puskesmas sangat tdk efektif,0,1
kenapaa sering forced close ya tolong di maksimal kan kembang apk nya biar mudah daftar nya,0,1
sangat bantu saya yg punya anak kecil tapi mau obat jadi ga perlu antri lagi,1,0
cara user interface sudah bagus namun lebih di tingkat lagi dengan fitur dark mode agar lebih cangggih,1,1
tentang vaksin belum update real time dengan informasi dari faskes entah,0,1
bagus info ini bisa bantu warga tanpa harus ke kantor harap bisa jadi jembatan urus surat surat izin boleh tambah pada aplikasi mode search konten isi karena nggak semua kenal jenis izin contoh urus akta lahir dengan men sesrch lebih mudah cari demikian lanjut,1,1
ke puskesmas kalo obat suruh daftar online tpi apk sangat gembel ganggu muluu sangat perlu baik,0,1
capek banget baru mau isi data selalu keluar sendiri aplikasi ini bukan mudah malah sulit sangat tidak efektif padahal untuk perlu penting daftar obat,0,1
tidak ada lanjut tiap lapor yg kirim dan ga ada fitur chat langsung atau notifikasi kalau lapor di terima jangan cuma citra aja tapi ga ada manfaat,0,1
sore min saya mau komplain ketika saya buka aplikasi depok single window itu koq bawa keluar mulu soal saya mau daftar brobat trs tolong dibetulin lg aplikasi agar lebih bagus,0,1
sertifikat tidak valid aplikasi tdk jalan dgn baik,0,1
mantab tangan adu bikin perang tetangga wkwk depok memang beda,1,0
kenapa sekarang kalo daftar online susah minta ampun nungguin dari jam 23 00 sampe jam 00 00 pas daftar malah your connection is time out malah suruh cek jaring padahal jaring oprator hp saya stabil2 saja bagaimana ini orang sangat butuh kalau memang aplikasi makin sepweri ini daftar online tiada saja,0,1
mau imunisasi aja ribet bgt skrg udh wa ke pihak puskesmas di aluhkan ke aplikasi nanya cara daftar buat imunisasi biar di pandu untuk daftar karna baru pertamakali dan ga ngerti ga di gubris nyoba nyoba klik menu di aplikasi sekali nya bisa layan tutup anjir lah ga jelas bege,0,1
aneh harus berkali2 login dan tidak bisa masuk juga ke aplikasi sekali masuk keluar sendiri mending ga usah pake aplikasi2an hapus aja harus taraf perintah punya aplikasi yang bagus seperti di luar negri sangat bantu warga tolong di baik,0,1
sangat bantu dengan aplikasi depok single window dsw ini aplikasi friendly usser banget dan lumayan lengkap buat yang install aplikasi ini dan beri bintang 1 arti kurang harga buat aplikasi wajar kalau aplikasi ini terkadang suka erorr karena harus koneksi dengan banyak layan publik se-kota depok jangan pakai aplikasi ini kalau ussernya cuma bisa negatif thinking,1,0
masih banyak yang belum bisa akses baru beberapa fitur yang aktif seperti pajak kendara motor pbb dll lebih belum masih dapat lapor mysqlserver error belum hubung dengan database baik lagi sementara saya kasih bintang 3 dulu,0,1
mw obat aja susah benerin tuh knp tiap daftar penuh terus coba lewat dari 1 minggu gk bisa pikir orang yang obat harus tetap waktu obat tidak boleh putus lebih baik hapus saja daftar online gk bantu malah sulit,0,1
ribet kata saya mah klo yg mau obat gigi harus trus megang hp gitu buat dapet nomor antri yg kouta nya cuma sedikit daftar online bisa buat besok lusa klo yg anak2 muda bisa klo yg lansia gak ngerti hp sama sekali kasihan juga,0,1
saya tau info aplikasi ini dari forward ibu saya saya sudah coba dan ecek kerja yg ada di aplikasi ini dan hampir semua fungsi dengan baik kecuali bagi input data di loker saya tidak bisa pilih lurah krn tidak ada option nya lebih oke dan recommended banget kok untuk kalian yg jg ingin sudah men-download aplikasi ini dan ingin beri ulas baik saran komentar tolong guna bahasa yg baik tidak kasar sbg cermin warga depok yg santun ya,1,1
gimana ya ini abis daftar online puskesmas kok malah apk nya keluar sendiri mau login gabisa coba dong tolong kok error trus padahal nomor antri puskes ada di apk nya gmn kalo gabisa di buka harus kalo emg daftar online dr apk nya jgn susah masyarakat dong hadeuu baik lagiii jgn buat susahhh,0,1
in apk gmna yaa masyarakat butuh bwt guna kalo akan k puskesmas misal datang langsung k puskesmas kami tolak krna belum daftar saya alami tapi gilir d guna apk na erorr d hapus d download kembali ga bisa kalo emg atur perintah harus pakai apk in tim maintenance harus na gercep jd masyarakat tdk sulit,0,1
hampir tiap hari saya coba daftar gigi gk bisa bisa nyoba mlm gk bisa nyoba subuh udh penuh trus harus jam brp daftar yg bnrnya jdi gk bisa ke dokter gigi padahal gusi 22 nya udh skit bgt di buat makan mau periksa gk dpt no mulu dri aplikasi ini gk tau knp,0,1
tiap mau daftar pukesmas webnya ga bisa terus coba subuh pagi siang tuju ada daftar online untuk mudah antri tapi tidak bantu sama skli daftar online ini krna ga bisa masuk web terus tolong baharu webnya biar cepat respon daftar,0,1
aplikasi ga guna data udah ada di bpjs kis tpi di search tidak di temu tau bgt kerja pada ga bner hal bgini aja ga ada mt nya apa apk blom 100 udah di running miris bayar pajak buat fasilitas macam kaya gin,0,1
mantab tambah maju depok ku sedikit masuk lebih bagus lagi tambah fitur tanya jawab online jadi bila ada warga depok yg masih bingung belum jelas dengan info bisa tanya langsung ke fitur chat online email ke customerservice sama tambahin lagi fitur untuk cek status nik kk pbb sim stnk dan lain2 biar waga depok khusus nya maap pinggir kayak saya parung ga repot2 ama jauh2 untuk cari info surat2 harga tinggal 1x klik ada semua terimakasih,1,1
masih ada bug dsw langsung force close telah sukses daftar puskesmas untuk besok tolong baik biar ke depan lebih nyaman tidak force close lagi,0,1
apus aja mending aplikasi nya dr pada ga bisa dipake mau daftar aja susah bgt keluar terus buka diperbaikin,0,1
mau buka aplikasi susah banget tolong baik,0,1
lagi coba apply daftar on-line buat obat ke puskesmas tapi aplikasi nya malah keluar keluar sendiri gitu udah gitu sama aja mau daftar online engga tetep ikut antri daftar offline di puskesmas nya terus guna aplikasi ini buat daftar online apaahhh,0,1
assalamualaikum warahmatullahi wabarakatuh tolong nih di respon dengan sangat tuk kolom adu kenapa harus pakai foto dulu untuk apa pakai foto dahulu itu 2 tanya yg beda ya tolong jawab kenapa tidak langsung ada kolom adu yg upa artikel atau narasi yg tanpa ada nya foto pun harus bisa kirim send dan jika mmg nt harus serta foto kan bisa nanti ada tambah option tolong jawab terima kasih wassalamu alaikum warahmatullahi wabarakatuh,0,1
kalo belum siap sedia jgn dipublis aplikasi coba dlu trus benerin byk eror bukan bantu orang malah nyusahin daftar online kolom tgl lahir ga bisa di isi tp kalo di skip mesti di isi jd mau gmna,0,1
aplikasi banyak bug tolong dong sering force close padahal cuma daftar puskesmas doang terus sering jalan sendiri aps nya dan buat ganggu,0,1
sangat tidak bantu untuk daftar periksa catin puskesmas minta online tapi selalu penuh atau server masalah,0,1
coba daftar online untuk rsud tanggal 31 baru dapetnya untuk tanggal 11 sampe sana bisa2nya kata data hilang terus buat apa kita suruh daftar online mana daftar juga susah rata2 full terus harus jauh2 hari tapi banget jauh,0,1
saya senang depok makin maju tiap puskesmas bisa daftar online tapi pas mau daftar susah minta ampun tgl sekian telah penuh silah ganti tgl lain gilir ganti tgl lain tetep aja nggak bisa tetep penuh juga kalau awat gigi kata dokter maksimal satu minggu harus kembali tapi mau daftar susah nya minta ampun,1,1
jgn di download percuma ga bs di pake,0,1
android gak bisa,0,1
knp aplikasi gak bis buat buka daftar online lalu knp saat sign up gak bisa masuk camat dan lurah tolong baik,0,1
aplikasi tidak guna pada akhir nya di arah ke wa dan tidak ada respon di wa yang lain sudah guna full aplikasi langsung isi dan upload berkas,0,1
untuk menu lowong kerja saya sudah isi data tapi tidak bisa di submit tolong baik aplikasi trmksh,0,1
aplikasi sangat bantu buat daftar online ke rsud cara kalau datang lngsng harus berangkat jam berapa ya selalu ga dapet nomer aplikasi mantap,1,1
saya pasang aplikasi ini karena butuh untuk layan daftar online di rsud tapi kenapa tiap mau daftar selalu penuh apa yg salah padahal saya coba daftar jauh hari tapi tetap saja kuota sudah penuh tolong dong baik,0,1
daftar puskesmas online tidak pernah bisa semua tanggal merah dan pada nyata praktek tetap harus daftar lansung ke puskesmas sangkut,0,1
tahu besar pajak yg harus bayar,1,0
ini aplikasi sering bgt force close sendiri telah daftar jg tidak ada record di akun bahwasanya daftar,0,1
blm bisa cara pakai,0,1
di update pajak motor malah g bisa ini min mw cek baiaya pajak motor tp cek biaya pbb bisa motor yg g bisa trmksih,0,1
sungguh kecewa hampir tiap tengah malam daftar selalu penuh saya tau ngga mungkin bisa penuh tiap hari pegawai juga banyak yang terlalu santai,0,1
parah bnget selalu keluar sndiri ni apk,0,1
pol kia puskesmas beji kok gak bisa daftar online padahal sangat bantu ibu hamil daripada harus daftar manual kerumun pasien yg lain,0,1
coba depok fokus baik tata kota dulu lebarin jalan dan atas banjir jgn buang anggar bikin aplikasi ga guna kayak begini,0,1
gak bisa dipake keluar sendiri mau ngurus izin online gak bisa dan mau daftar kerja loker udah kirim lamar tetapi harus aktivasi dateng ke balkot nya ini app apa,0,1
aplikasi suka keluar sendiri susah yang mau daftar puskesmas tolak daftar langsung ke puskesmas padahal ibu hamil mau cek lab dam kontrol bulan fiturnya juga tutup jadi gabisa daftar kalau online ya online semua ini pol lain juga bisa daftar langsung bikin repot aja,0,1
knp sih aplikasi desa ini baru saja mau login daftar kok aplikasi keluar terus maaf kpd operator tolong dong tingkat lg untuk nyaman nya jd mudah untuk akses aplikasi jd lebih mudah lg,0,1
gajelas aplikasi tampil awal doang bagus gilir mau konfirmasi ga bisa di klik benerin dulu baru di publis deh,0,1
masa tiap daftar di tgl yg kosong selalu gagal dan tulis penuh padahal di kolom jadwal status kosong masih perlu baik lebih lanjut,0,1
ide bagus tapi masih gak fungsi buat bayar pajak kendara tumpang tindih dgn sabara jawabarat yg lebih dulu ada tp sdh bener aplikasi,1,1
tolong aplikasi selalu bug gk bisa pakai trus wifinya juga kenapa tiba login username sama password mana saya tau ni aplikasi banyak bugnya,0,1
tiga dulu belum bisa di paham dan masih sulit belum bikin simpel dan mudah,0,1
aplikasi tidak manfaat wifi pasang doang tapi ga bisa dipake,0,1
lagi daftar kenapa keluar sendiri mulu ko malah jadi ribet tolong baik kualitas dan layan onlinenya,0,1
kenapa untuk daftar pol gigi tidak bisa di puskesmas cipayung apakah harus di sesuai jam buka puskesmas saya daftar shubuh tidak bisa muncul jam layan yang anda pilih tidak sesuai dengan jam saat ini harus di web ada layan bantu,0,1
terima kasih aplikasi sangat bantu sekali mudah daftar puskesmas sangat guna tapi sekarang kok gak bisa daftar pakai akun gagal terus tolong baik,1,1
sumpah gua mau ketawa pas nyoba fitur loker di dalem aplikasi ini kirain aplikasi yg mutu kaya nya cuman akal an pemkot depok doang buat citra bikin aplikasi kaya gin masa buat verifikasi email doang di fitur loker nya kudu harus verifikasi di balkot nya terus bikin aplikasi buat apa kalo suruh balik lagi pake cara tradisional tampil doang modern tapi isi nya jadul parah buang anggar doang makin curiga gua,0,1
kalau bikin aplikasi yg serius kenapa ini ga bisa di buka telah daftar online ini apk penting bgt loch pasti banyak yang pake tolong di baik lagi yaa,0,1
belum sempurna nih aplikasi ketika mau daftar kolom camat dan lurah nya ga bisa di pilih,0,1
tidak bisa daftar online karena tanggal tidak connect walau sudah ulang kali aplikasi di download hapus,0,1
mudah cepat praktis ga antri kalo obat ke polisi bikin skck semua layan ada di apl ini ga bisa akses knp ya soal udah 3 kali keluar masuk dsw tapi keluar nya cara normal,1,1
app ini sangat bantu sy sbg warga depok ada bbrp masalah yg mo sy sampai utk maju depok tp sayang menu adu tdk fungsi tolong fungsi pak admin trims,1,1
aplikasi nya henti terus ga bisa buka antri juga deh di puskesmas,0,1
gimana sihh baru mau daftar online ko langsung keluar sendiri tolong di baik lagi dong buat apa di ada on daftar online v harus di ulang terus dan hasil y masih nihil alias ga bisa,0,1
ini sangat parah sudah daftar pol umum tangal kenapa merah semua tolong di baik aplikasi nya bukan nya mudah malah sulit untuk daftar,0,1
udah di update tapi malah gakbisa ngisi tgl booking ke rsnya ini gimana tolong mau daftar jadi susah,0,1
gmn ini mau pilih tanggal kunjung obat tidak bisa di klik hadeeehhh padahal udah bagus punya aplikasi seperti ini,1,1
aplikasi gak guna sama sekali mau daftar kia coba gak bisa terus tanggal merah mulu ujung nanti suruh daftar manual deh,0,1
selamat siang izin tanya 1 untuk layan sehat - daftar online untuk pol kia kuota berapa ya kok selalu kuota habis 2 apakah bisa tambah fitur date picker untuk laku daftar online sehingga user dapat pilih tanggal untuk daftar online existing hanya bisa h-2 h-1 dan h dasar alam sudah 2 kali ingin daftar online salah satu layan sehat selalu habis kuota mohon evaluasi dan update fitur-fiturnya untuk mudah masyarakat salam,0,1
jelek banget woy saya mau daftar obat ga bisa ga ngerti lagi ama nih aplikasi percuma ada aplikasi tp tetep ngantri juga,0,1
buat login aja susah tulis nya anda belum daftar padahal nulis rm sama nik udah bener udah 4x gitu terus semenjak 2 bulan akhir ujung2nya harus nanya ke pusat informasi,0,1
yups alhamdulillah fitur cctv di hp samsung sudah bisa kerja terima kasih tingkat terusssss,1,0
sangat bergunaaa saya jadi bisa lihat harga cabai direkomen temen trus saya langsung suka obat juga jadi gampang,1,0
bantu sekali dalam hal layan instalasi per terus tingkat dan buat jadi lebih mudah untuk penguna,1,0
tolong fungsi e-sppt diupgade bukan hanya tampil nominal tapi juga bisa download e-sppt nya apa beda dgn app e-pbb kota depok,0,1
