peraturan,sumber
"Belanja Tidak Tersangka dianggarkan untuk
pengeluaran penanganan bencana alam, bencana
sosial atau pengeluaran lainnya yang sangat
diperlukan dalam rangka penyelenggaraan
kewenangan pemerintahan daerah.",Peraturan Menteri Nomor 29 Tahun 2002
"Utang Daerah adalah jumlah uang yang wajib dibayar
Daerah sebagai akibat penyerahan uang, barang dan
atau jasa kepada Daerah atau akibat lainnya
berdasarkan peraturan perundang-undangan yang
berlaku.",Peraturan Menteri Nomor 29 Tahun 2002
"Subbidang Perangkat Ekonomi Lingkungan mempunyai tugas melakukan penyiapan bahan koordinasi,
telaahan staf, pengkajian dan evaluasi serta penyusunan rancangan rumusan kebijakan di bidang
perangkat ekonomi Lingkungan.",Peraturan Menteri Nomor 9 Tahun 2001
"Bank dapat melakukan perbuatan-perbuatan untuk hukum adat dan
orang-orang dan badan-badan yang takluk kepada hukum adat dan
menjalankan hak-hak atas benda-benda yang takluk kepada hukum
adat.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 21 Tahun 1960
"Penggunaan Dana Cadangan dianggarkan pada:
a. Kelompok Pembiayaan, Jenis Penerimaan
Daerah, Obyek Transfer dari Dana Cadangan,
b. Bagian, Kelompok, dan Jenis Belanja Modal.",Peraturan Menteri Nomor 29 Tahun 2002
"Deputi Bidang Pembiayaan Pembangunan mempunyai tugas
melaksanakan perumusan kebijakan di bidang pembiayaan pembangunan.",Peraturan Presiden Nomor 176 Tahun 2000
"Dalam rangka penyusunan statistik keuangan
pemerintah, klasifikasi struktur APBD sebagaimana
dimaksud pada Ayat beserta kode rekeningnya disesuaikan dengan macam
dan jenis kewenangan yang dimiliki Daerah.",Peraturan Menteri Nomor 29 Tahun 2002
Manajer Investasi dan Bank Kustodian sebagaimana dimaksud pada ayat (1) ditunjuk dan terikat perjanjian kerja sama dengan BP Tapera.,Peraturan Pemerintah Nomor 25 Tahun 2020
"Penyusunan Arah dan Kebijakan Umum APBD
sebagaimana dimaksud pada Ayat
(5) tercantum dalam Lampiran VI Keputusan ini.",Peraturan Menteri Nomor 29 Tahun 2002
"Pola penyaluran langsung sebagaimana dimaksud pada
ayat ( 1) huruf a merupakan penyaluran pembiayaan
yang dilakukan oleh penyalur secara langsung kepada
debitur.",Peraturan Menteri Nomor 1 Tahun 2021
"Menteri Koordinator Bidang Perekonomian
mengoordinasikan pelaksanaan strategi sebagaimana
dimaksud dalam Diktum KEDUA dan melaporkan
secara berkala kepada Presiden.",Peraturan Presiden Nomor 6 Tahun 2014
Badan Investasi Pemerintah wajib menyusun laporan keuangan dan kinerja badan.,Peraturan Pemerintah Nomor 1 Tahun 2008
Cadangan tujuan sebagaimana dimaksud dalam ayat (1) pasal ini antara lain dipergunakan untuk pemupukan dana bagi pembelanjaan perluasan kapasitas Perusahaan.,Peraturan Pemerintah Nomor 8 Tahun 2007
Kepala badan investasi pemerintah melakukan pengawasan atas pelaksanaan perjanjian investasi sebagaimana dimaksud pada Pasal 22 ayat (3).,Peraturan Pemerintah Nomor 8 Tahun 2007
"Asisten Deputi 3/II membawahkan:
Bidang Perdagangan dan Investasi Ramah Lingkungan;
Bidang Perdagangan Internasional dan Lingkungan.",Peraturan Menteri Nomor 9 Tahun 2001
Rencana strategis pengelolaan Keuangan Haji sebagaimana dimaksud pada ayat (1) disusun untuk jangka waktu 5 (lima) tahun.,Peraturan Pemerintah Nomor 5 Tahun 2018
"Politis sebagaimana dimaksud pada ayat (1) huruf a
merupakan aspek yang tidak bertentangan dengan Politik
Luar Negeri yang bebas aktif dan kebijakan Hubungan Luar
Negeri Pemerintah Pusat pada umumnya.",Peraturan Menteri Nomor 2 Tahun 2021
"Tarif layanan kerja sama program dengan pihak lain
sebagaimana dimaksud pada ayat (1) ditetapkan dalam
kontrak kerja sama program antara Direktur Utama
Badan Layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan dengan pemerintah
daerah dan/atau pihak lain.",Peraturan Menteri Nomor 1 Tahun 2021
"Bidang Perancangan Hukum Lingkungan 3 mempunyai tugas dalam menyelenggarakan perancangan dan
perumusan kebijakan perjanjian hukum lingkungan global dan regional yang akan diratifikasi.",Peraturan Menteri Nomor 9 Tahun 2001
"Pembentukan Dana Cadangan sebagaimana
dimaksud pada Ayat
(3) ditetapkan dengan Peraturan Daerah.",Peraturan Menteri Nomor 29 Tahun 2002
"Dalam hal realisasi penerimaan negara tidak cukup untuk
memenuhi kebutuhan pengeluaran negara pada saat
tertentu, kekurangannya dapat dipenuhi dari dana SAL,
penerbitan SBN, atau penyesuaian Belanja Negara.",Undang-Undang Nomor 27 Tahun 2014
Hak Peserta sebagaimana dimaksud pada ayat (1) tidak dibedakan antara Peserta Pekerja dan Peserta Pekerja Mandiri.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Investasi pemerintah sebagaimana dimaksud pada ayat (1), meliputi: a. investasi pada lembaga pembiayaan bank; b. investasi pada lembaga pembiayaan non-bank; dan c. koperasi.",Peraturan Pemerintah Nomor 8 Tahun 2007
"Dalam hal belum tersedia Pejabat Fungsional Arsiparis di
Unit Pengolah dan di Unit Kearsipan, Pejabat Pimpinan
Tinggi Pratama dapat menugaskan Pejabat Administrasi
untuk melaksanakan tugas Pengamanan Arsip Dinamis
sebagai pelaksana Arsip.",Peraturan Menteri Nomor 1 Tahun 2022
Besaran Simpanan Peserta ditetapkan sebesar 30% (tiga puluh persen) dari Gaji atau Upah untuk Peserta Pekerja dan Penghasilan untuk Peserta Pekerja Mandiri sebagaimana dimaksud dalam Pasal 14 ayat (3).,Peraturan Pemerintah Nomor 8 Tahun 2007
"Setiap Kelompok Belanja dirinci menurut Jenis
Belanja. Setiap Jenis. Belanja dirinci menurut Obyek
Belanja. Setiap Obyek Belanja dirinci menurut
Rincian Obyek Belanja. Format Susunan Belanja
Daerah beserta kode rekeningnya tercantum dalam
Lampiran IV Keputusan ini.",Peraturan Menteri Nomor 29 Tahun 2002
Produk perbankan syariah sebagaimana dimaksud dalam Pasal 26 ayat (1) meliputi: a. giro; b. deposito berjangka; dan c. tabungan.,Peraturan Pemerintah Nomor 5 Tahun 2018
"Investasi Pemerintah dimaksudkan untuk memperoleh manfaat ekonomi, sosial, dan/atau manfaat lainnya.",Peraturan Pemerintah Nomor 1 Tahun 2008
"Terbatas adalah klasifikasi informasi dari Arsip yang
memiliki informasi apabila diketahui oleh pihak yang tidak
berhak dapat mengakibatkan terganggunya pelaksanaan
tugas dan fungsi Kementerian Koordinator Bidang
Kemaritiman dan Investasi.",Peraturan Menteri Nomor 1 Tahun 2022
"Penerimaan Pinjaman Daerah dalam APBD
dianggarkan pada Kelompok Pembiayaan, Jenis
Penerimaan Daerah, Obyek Pinjaman dan Obligasi,
sesuai dengan jumlah yang akan diterima dalam
Tahun Anggaran berkenaan;",Peraturan Menteri Nomor 29 Tahun 2002
Pengajuan rancangan rencana strategis pengelolaan Keuangan Haji kepada Dewan Perwakilan Rakyat sebagaimana dimaksud pada ayat (7) dilaksanakan paling lambat 7 (tujuh) hari kerja setelah mendapat persetujuan dewan pengawas.,Peraturan Pemerintah Nomor 5 Tahun 2018
Ketua Panitia dibantu oleh Wakil Ketua.,Peraturan Presiden Nomor 10 Tahun 1964
"Dalam melaksanakan tugas dan fungsinya, Tim Pelaksana
dapat melibatkan tenaga ahli dan para pakar sesuai
dengan ketentuan peraturan perundang-undangan.",Peraturan Presiden Nomor 20 Tahun 2020
"Bidang Ekosistem Laut membawahkan:
Subbidang Pemanfaatan Ekosistem Laut;
Subbidang Pelestarian Ekosistem Laut.",Peraturan Menteri Nomor 9 Tahun 2001
"Setiap bidang pemerintahan sebagaimana dimaksud
pada Ayat dilaksanakan oleh Perangkat-perangkat Daerah yang
bertindak sebagai pusat-pusat pertanggungjawaban
sesuai dengan tugas pokok dan fungsi masing-
masing.",Peraturan Menteri Nomor 29 Tahun 2002
"Bank mempunyai dana cadangan yang dibentuk dan dipupuk menurut
ketentuan dalam pasal 16 peraturan ini.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 21 Tahun 1960
Ketentuan Peraturan Pemerintah ini berlaku mutatis mutandis terhadap pengelolaan investasi pemerintah daerah.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Setiap pihak dilarang melakukan kegiatan penghimpunan dana
dalam bentuk Simpanan atau Investasi berdasarkan Prinsip
Syariah tanpa izin terlebih dahulu dari Bank Indonesia, kecuali
diatur dalam undang-undang lain.",Undang-Undang Nomor 21 Tahun 2008
"Subbagian Penyusunan Program mempunyai tugas membantu penyiapan bahan koordinasi untuk
penyusunan program pengelolaan lingkungan hidup.",Peraturan Menteri Nomor 9 Tahun 2001
Penyediaan infrastruktur dan non infrastruktur antara menteri teknis/pimpinan lembaga/kepala daerah dengan badan usaha yang ditetapkan melalui pelelangan umum.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Ketentuan mengenai tukar-menukar informasi sebagaimana
dimaksud pada ayat (1) diatur dalam Peraturan Bank
Indonesia.",Undang-Undang Nomor 21 Tahun 2008
Kepesertaan Tapera berakhir karena: a. telah pensiun bagi Pekerja; b. telah mencapai usia 58 (lima puluh delapan) tahun bagi Pekerja Mandiri; c. Peserta meninggal dunia; atau d. Peserta tidak memenuhi lagi kriteria sebagai Peserta selama 5 (lima) tahun berturut-turut.,Peraturan Pemerintah Nomor 25 Tahun 2020
"Pengurus semua perusahaan/badan yang berusaha/bekerja di
Indonesia wajib memberikan segala keterangan dan angka-angka
yang diperlukan oleh Menteri yang bersangkutan untuk
kepentingan pelaksanaan ketentuan-ketentuan yang ditetapkan
dalam atau berdasarkan Peraturan Pemerintah Pengganti
Undang-undang ini.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 7 Tahun 1962
"Pelaksanaan investasi pemerintah melalui pembelian surat utang dapat dilaksanakan atas surat utang yang diterbitkan perusahaan, pemerintah, dan negara lain.",Peraturan Pemerintah Nomor 8 Tahun 2007
Ketentuan lebih lanjut mengenai mekanisme kepesertaan masyarakat yang telah menerima manfaat dana Fasilitas Likuiditas Pembiayaan Perumahan sebagaimana dimaksud pada ayat (1) diatur oleh menteri yang menyelenggarakan urusan pemerintahan di bidang perumahan dan kawasan permukiman.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Dalam hal anggaran diperkirakan defisit melampaui
target yang ditetapkan dalam APBN, Pemerintah dapat
menggunakan dana SAL, penarikan pinjaman siaga
dan/atau penerbitan SBN sebagai tambahan pembiayaan.",Undang-Undang Nomor 27 Tahun 2014
"Komite Investasi Pemerintah adalah pihak yang memberikan kajian, penetapan kriteria, dan evaluasi atas pelaksanaan investasi oleh Badan Investasi Pemerintah.",Peraturan Pemerintah Nomor 1 Tahun 2008
Manajer Investasi yang melanggar ketentuan sebagaimana dimaksud dalam Pasal 52 ayat (2) dikenai sanksi administratif berupa peringatan tertulis.,Peraturan Pemerintah Nomor 8 Tahun 2007
Kepala badan investasi pemerintah dapat melakukan divestasi terhadap kepemilikan investasi langsung dengan terlebih dahulu mendapat persetujuan Menteri Keuangan.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Surplus anggaran sebagaimana dimaksud pada Ayat
(3) terjadi apabila Anggaran Pendapatan Daerah lebih
besar dari Anggaran Belanja Daerah.",Peraturan Menteri Nomor 29 Tahun 2002
"Subbidang Perdagangan Internasional 1 mempunyai tugas melakukan penyiapan bahan koordinasi,
telaahan staf, pengkajian dan evaluasi, serta penyusunan rancangan rumusan kebijakan di bidang
organisasi perdagangan dunia.",Peraturan Menteri Nomor 9 Tahun 2001
"Bank Syariah dan UUS wajib menyampaikan kepada Bank
Indonesia laporan keuangan berupa neraca tahunan dan
perhitungan laba rugi tahunan serta penjelasannya yang
disusun berdasarkan prinsip akuntansi syariah yang berlaku
umum, serta laporan berkala lainnya, dalam waktu dan
bentuk yang diatur dengan Peraturan Bank Indonesia.",Undang-Undang Nomor 21 Tahun 2008
"Atas usul Panitia, Pimpinan BAPPENAS dapat membentuk team-team kerja
untuk menjalankan kegiatan-kegaitan tertentu guna membantu Panitia.",Peraturan Presiden Nomor 10 Tahun 1964
"Pinjaman dengan persyaratan lunak sebagaimana dimaksud pada
ayat (1), diberikan dalam rangka menutup financing gap PT
Perusahaan Listrik Negara (Persero) akibat pengadaan dan
penggantian trafo serta penguatan instalasi, transmisi, dan
distribusi, serta investasi lainnya.",Peraturan Presiden Nomor 9 Tahun 2011
"Biro Umum membawahkan:
Bagian Kepegawaian;
Bagian Administrasi;
Bagian Keuangan;
Bagian Rumah Tangga.",Peraturan Menteri Nomor 9 Tahun 2001
"Untuk melaksanakan pembayaran ganti rugi kepada korban menurut
ketentuan tersebut dalam ayat (1) pasal ini Menteri dapat menunjuk
instansi Pemerintah yang dianggap perlu.",Undang-Undang Nomor 34 Tahun 1964
Peserta memperoleh pengembalian Simpanan dan hasil pemupukan Dana Tapera berdasarkan jumlah unit penyertaan yang dimiliki Peserta dikalikan nilai aktiva bersih per unit penyertaan pada tanggal berakhirnya kepesertaan.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Pengusaha/pemilik alat angkutan lalu-lintas jalan diharuskan memberi
sumbangan wajib setiap tahun kepada Dana yang dimaksud dalam
pasal 1.",Undang-Undang Nomor 34 Tahun 1964
"Investasi pemerintah dalam rangka pengembangan bidang usaha lainnya sebagaimana dimaksud dalam Pasal 4 ayat (1) huruf d, dilakukan untuk pembelian surat berharga yang bertujuan untuk mendapatkan manfaat ekonomi.",Peraturan Pemerintah Nomor 8 Tahun 2007
"Staf Ahli Bidang Pengembangan Ekonomi Makro dan Keuangan
mempunyai tugas memberikan telaahan mengenai masalah
pengembangan ekonomi makro dan keuangan.",Peraturan Presiden Nomor 176 Tahun 2000
"Perubahan lebih lanjut Pembiayaan Anggaran berupa
perubahan pagu Penerusan Pinjaman luar negeri akibat
dari lanjutan dan percepatan penarikan Penerusan
Pinjaman luar negeri, ditetapkan oleh Pemerintah.",Undang-Undang Nomor 27 Tahun 2014
DAU sebagaimana dimaksud dalam Pasal 8 huruf d merupakan alokasi dana tersendiri dalam pengelolaan Keuangan Haji.,Peraturan Pemerintah Nomor 5 Tahun 2018
Pekerja Mandiri adalah setiap warga negara Indonesia yang bekerja dengan tidak bergantung pada Pemberi Kerja untuk mendapatkan Penghasilan.,Peraturan Pemerintah Nomor 25 Tahun 2020
"Izin perubahan UUS menjadi Bank Umum Syariah
sebagaimana dimaksud pada ayat (1) diatur dengan
Peraturan Bank Indonesia.",Undang-Undang Nomor 21 Tahun 2008
Jemaah Haji yang membatalkan porsinya dapat mengambil saldo setoran BPIH dan/atau BPIH Khusus dengan mengajukan permohonan pembatalan porsi kepada Menteri atau pejabat yang ditunjuk oleh Menteri.,Peraturan Pemerintah Nomor 5 Tahun 2018
"Penerimaan Perpajakan sebagaimana dimaksud
dalam Pasal 3 huruf a direncanakan sebesar
Rp1.379.991.627.125.000,00 (satu kuadriliun tiga ratus
tujuh puluh sembilan triliun sembilan ratus sembilan
puluh satu miliar enam ratus dua puluh tujuh juta seratus
dua puluh lima ribu rupiah), yang terdiri atas:
a. Pendapatan Pajak Dalam Negeri; dan
b. Pendapatan Pajak Perdagangan Internasional.",Undang-Undang Nomor 27 Tahun 2014
"Anggota-anggota Panitia terdiri atas para ahli dalam persoalan
sumber-sumber pembiayaan.",Peraturan Presiden Nomor 10 Tahun 1964
"Investasi Langsung dimaksudkan untuk mendapatkan manfaat ekonomi, sosial, dan/atau manfaat lainnya.",Peraturan Pemerintah Nomor 1 Tahun 2008
"Format Susunan Bidang Pemerintahan dan Perangkat
Daerah Propinsi, Kabupaten,dan Kota dalam APBD
tercantum dalam Lampiran I Keputusan ini.",Peraturan Menteri Nomor 29 Tahun 2002
Menteri Keuangan melakukan pengawasan dalam rangka pelaksanaan kewenangan supervisi sebagaimana dimaksud dalam Pasal 13 ayat (3).,Peraturan Pemerintah Nomor 8 Tahun 2007
"Program Pengelolaan Subsidi dalam Tahun Anggaran 2015
direncanakan sebesar Rp414.680.552.641.000,00 (empat
ratus empat belas triliun enam ratus delapan puluh miliar
lima ratus lima puluh dua juta enam ratus empat puluh
satu ribu rupiah).",Undang-Undang Nomor 27 Tahun 2014
Denda administratif sebagaimana dimaksud pada poin 4 disetorkan ke BP Tapera bersamaan dengan pembayaran Simpanan bulan berikutnya dan menjadi pendapatan lain BP Tapera.,Peraturan Pemerintah Nomor 25 Tahun 2020
"Klasifikasi Keamanan Arsip Dinamis pada tingkat Biasa
sebagaimana dimaksud dalam Pasal 3 huruf a didasarkan
pertimbangan apabila diketahui oleh Publik tidak memiliki
dampak yang dapat mengganggu kinerja satuan organisasi.",Peraturan Menteri Nomor 1 Tahun 2022
Investasi langsung dalam bentuk penyediaan infrastruktur dan non infrastruktur dilaksanakan dengan cara: a. badan investasi pemerintah melakukan perjanjian investasi dengan badan usaha berdasarkan perjanjian kerjasama. b. badan investasi pemerintah melakukan perjanjian investasi dengan badan yang mengelola dana bergulir pada kementerian teknis berdasarkan perjanjian kerjasama.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Hasil evaluasi Kerja Sama dapat digunakan sebagai dasar
untuk perpanjangan dan pengakhiran Kerja Sama.",Peraturan Menteri Nomor 2 Tahun 2021
"Bagian Kerjasama Bilateral membawahkan:
Subbagian Antar Negara;
Subbagian Organisasi Non-Pemerintah.",Peraturan Menteri Nomor 9 Tahun 2001
"Upaya optimalisasi Piutang Negara sebagaimana dimaksud pada ayat (16), dilakukan terhadap penanggung utang yang: a. kegiatan usahanya melaksanakan pelayanan umum di sektor yang berhubungan dengan kebutuhan dasar masyarakat; b. melaksanakan pelayanan yang mempunyai keterkaitan dengan kepentingan Daerah; dan c. mengalami kesulitan keuangan di dalam memenuhi kewajiban pinjaman sehingga mempengaruhi kelangsungan usahanya.",Peraturan Pemerintah Nomor 8 Tahun 2007
"Pejabat Administrasi adalah Pegawai Aparatur Sipil Negara
yang menduduki Jabatan Administrasi pada instansi
pemerintah.",Peraturan Menteri Nomor 1 Tahun 2022
"Anggaran Belanja Pemerintah Pusat sebagaimana
dimaksud pada ayat (1) termasuk pemberian penghargaan
dan sanksi atas pelaksanaan anggaran belanja
Kementerian Negara/Lembaga tahun 2013 berdasarkan
hasil audit Badan Pemeriksa Keuangan (BPK).",Undang-Undang Nomor 27 Tahun 2014
"Bank dipimpin oleh:
a.Dewan Pembangunan dan
b.Direksi.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 21 Tahun 1960
"Bidang investasi pemerintah yang dapat dibiayai dengan dana investasi sebagaimana dimaksud pada ayat (1), harus menghasilkan manfaat investasi yang terukur bagi pemerintah.",Peraturan Pemerintah Nomor 8 Tahun 2007
"Subbidang Kelembagaan Pendanaan Lingkungan mempunyai tugas melakukan penyiapan bahan
koordinasi, telaahan staf, pengkajian dan evaluasi serta penyusunan rancangan rumusan kebijakan di
bidang kelembagaan pendanaan Lingkungan.",Peraturan Menteri Nomor 9 Tahun 2001
"Pemerintah dapat melakukan pembayaran PMN melebihi
pagu yang ditetapkan dalam Tahun Anggaran 2015 yang
diakibatkan oleh selisih kurs, yang selanjutnya dilaporkan
dalam APBN Perubahan Tahun Anggaran 2015 dan/atau
Laporan Keuangan Pemerintah Pusat (LKPP) Tahun 2015.",Undang-Undang Nomor 27 Tahun 2014
"Pengeluaran pembayaran saldo setoran BPIH Khusus ke PIHK, sebagaimana dimaksud pada ayat (1), dibayarkan setelah dikurangi biaya yang ditetapkan oleh Pemerintah Kerajaan Arab Saudi.",Peraturan Pemerintah Nomor 5 Tahun 2018
"Pelaksanaan penggunaan anggaran sebagaimana
dimaksud pada ayat (1) dan ayat (2) diatur lebih
lanjut oleh Menteri Keuangan paling lambat 14
(empat belas) hari kerja sejak ditetapkannya
Peraturan Presiden ini.",Peraturan Presiden Nomor 31 Tahun 2021
"Lembaga linkage sebagaimana dimaksud pada ayat (1)
merupakan lembaga keuangan bukan bank yang
menjadi mitra kerja Penyalur untuk menyalurkan
pembiayaan ultra mikro melalui pola penyaluran tidak
langsung dengan pembiayaan konvensional dan/ atau
pembiayaan syariah.",Peraturan Menteri Nomor 1 Tahun 2021
Analisis risiko dalam perencanaan kebutuhan investasi disusun berdasarkan prinsip kehati-hatian dan pembagian pengelolaan risiko dalam rangka menjamin efisiensi dan efektivitas pelaksanaan investasi pemerintah.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Pengawas Eksternal sebagaimana dimaksud pada ayat (1)
huruf a berwenang mengakses seluruh Arsip dalam
rangka melaksanakan fungsi pengawasan sesuai dengan
ketentuan peraturan perundang-undangan.",Peraturan Menteri Nomor 1 Tahun 2022
Bank atau Perusahaan Pembiayaan wajib melaporkan pelaksanaan penyaluran pembiayaan perumahan kepada BP Tapera dan Bank Kustodian.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Penyertaan Modal adalah bentuk Investasi Pemerintah pada Badan Usaha dengan mendapat hak kepemilikan, termasuk pendirian Perseroan Terbatas dan/atau pengambilalihan Perseroan Terbatas.",Peraturan Pemerintah Nomor 1 Tahun 2008
"Pelaksanaan tugas dan fungsi Kementerian
Pendidikan, Kebudayaan, Riset, dan Teknologi
menggunakan sumber daya manusia dan anggaran
yang tersedia sesuai tugas dan fungsinya pada
Kementerian Pendidikan dan Kebudayaan.",Peraturan Presiden Nomor 31 Tahun 2021
"Bank dapat mempunyai kantor-kantor cabang kantor-kantor
perwakilan atau koresponden-koresponden di dalam dan di luar negeri
untuk menjalankan tugasnya.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 21 Tahun 1960
Deputi LI mempunyai tugas melaksanakan perumusan kebijakan di bidang sosial ekonomi lingkungan.,Peraturan Menteri Nomor 9 Tahun 2001
"Pengamanan Arsip Dinamis sebagaimana dimaksud dalam
Pasal 10 dikoordinasikan oleh Unit Kearsipan.",Peraturan Menteri Nomor 1 Tahun 2022
"Pemilik/pengusaha alat angkutan lalu-lintas jalan yang melalaikan
kewajibannya membayar sumbangan wajib menurut pasal 2 ayat (1) dan
ayat (2) serta pasal 3 Undang-undang ini dihukum dengan hukuman denda
setinggi-tingginya Rp. 100.000,- (seratus ribu rupiah).",Undang-Undang Nomor 34 Tahun 1964
"Pinjaman dengan persyaratan lunak kepada PT Perusahaan Listrik
Negara (Persero) merupakan pinjaman yang persyaratannya
ditetapkan sebagai berikut:
a. jangka waktu pengembalian pinjaman selama 15 (lima belas)
tahun;
b. masa tenggang pengembalian pinjaman selama 5 (lima) tahun;
dan
c. tingkat suku bunga pinjaman berdasarkan tingkat bunga
Sertifikat Bank Indonesia.",Peraturan Presiden Nomor 9 Tahun 2011
"Mitra Kerja Sama di dalam negeri sebagaimana dimaksud
dalam Pasal 5, meliputi
Kementerian
Lembaga Pemerintah Non-Kementerian
Pemerintah Daerah
Lembaga Pendidikan
Lembaga Swadaya Masyarakat
Dunia Usaha atau
Organisasi Kemasyarakatan.",Peraturan Menteri Nomor 2 Tahun 2021
"Bidang Kawasan Non-Budidaya membawahkan:
Subbidang Keanekaragaman Hayati;
Subbidang Kawasan Lindung.",Peraturan Menteri Nomor 9 Tahun 2001
"Pengeluaran pengembalian setoran BPIH dan/atau BPIH Khusus Jemaah Haji yang membatalkan keberangkatan dengan alasan yang sah, sebagaimana dimaksud dalam Pasal 19 huruf d, terdiri atas: a. Pengembalian setoran awal BPIH dan/atau BPIH Khusus beserta nilai manfaatnya. b. Pengembalian setoran lunas BPIH dan/atau BPIH Khusus beserta nilai manfaatnya.",Peraturan Pemerintah Nomor 5 Tahun 2018
"Bank Syariah dan UUS wajib menerapkan manajemen risiko,
prinsip mengenal nasabah, dan perlindungan nasabah.",Undang-Undang Nomor 21 Tahun 2008
Penunjukan BPS BPIH sebagaimana dimaksud dalam Pasal 10 ayat (3) dan ayat (4) dilakukan melalui proses pemilihan dan penetapan.,Peraturan Pemerintah Nomor 5 Tahun 2018
"Peserta membayar Simpanan kepada Rekening Dana Tapera di Bank Kustodian, melalui Bank Penampung, atau pihak yang menyelenggarakan mekanisme pembayaran lainnya yang ditunjuk oleh Bank Kustodian.",Peraturan Pemerintah Nomor 25 Tahun 2020
"Arsiparis adalah seseorang yang memiliki kompetensi di
bidang kearsipan yang diperoleh melalui pendidikan formal
dan/atau pendidikan dan pelatihan kearsipan serta
mempunyai fungsi, tugas, dan tanggung jawab
melaksanakan kegiatan Kearsipan.",Peraturan Menteri Nomor 1 Tahun 2022
Menteri melakukan pengawasan umum atas jalannya Perusahaan.,Peraturan Pemerintah Nomor 18 Tahun 1983
"Dalam tahapan penandatanganan naskah kesepakatan
Kerja Sama Luar Negeri, Kementerian Koordinator
berkoordinasi dengan Kementerian Luar Negeri.",Peraturan Menteri Nomor 2 Tahun 2021
Kepala daerah menetapkan standar operasional prosedur pelaksanaan Pemberian Insentif dan/atau Pemberian Kemudahan kepada Masyarakat dan/atau Investor.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Kementerian Koordinator adalah Kementerian Koordinator
Bidang Kemaritiman dan Investasi.",Peraturan Menteri Nomor 1 Tahun 2022
"Ketentuan lebih lanjut mengenai besaran tarif
pembiayaan ultra mikro melalui pembiayaan syariah,
jangka waktu pembiayaan, pengembalian pokok 
pembiayaan, pembayaran bagi hasil pembiayaan,
sanksi, peninjauan kembali pembiayaan, jaminan,
tingkat margin di debitur, dan/atau denda diatur dalam
perjanjian antara Badan Layanan Umum Pusat
Investasi Pemerintah pada Kementerian Keuangan
dengan penyalur.",Peraturan Menteri Nomor 1 Tahun 2021
"Pelaksanaan ketentuan sebagaimana dimaksud pada ayat
(1) sampai dengan ayat (6) ditetapkan oleh Pemerintah dan
dilaporkan dalam APBN Perubahan Tahun Anggaran 2015
dan/atau Laporan Keuangan Pemerintah Pusat (LKPP)
Tahun 2015.",Undang-Undang Nomor 27 Tahun 2014
"Pasar Modal adalah kegiatan yang bersangkutan dengan penawaran umum dan perdagangan efek, perusahaan publik yang berkaitan dengan efek yang diterbitkannya, serta lembaga dan profesi yang berkaitan dengan efek.",Peraturan Pemerintah Nomor 8 Tahun 2007
"Bidang Perancangan Hukum Lingkungan 1 membawahkan:
Subbidang Perancangan Internal;
Subbidang Perancangan Eksternal.",Peraturan Menteri Nomor 9 Tahun 2001
"Asisten Deputi 1/III membawahkan:
Bidang Pengkajian Hukum Lingkungan 1;
Bidang Perancangan Hukum Lingkungan 1.",Peraturan Menteri Nomor 9 Tahun 2001
Jemaah Haji adalah Warga Negara Indonesia yang beragama Islam dan telah mendaftarkan diri untuk menunaikan Ibadah Haji sesuai dengan persyaratan yang ditetapkan.,Peraturan Pemerintah Nomor 5 Tahun 2018
"Naskah Kesepakatan Kerja Sama Dalam Negeri, meliputi:
kesepakatan para pihak yang ditulis dalam naskah
kesepahaman bersama atau nama lain dan
kesepakatan para pihak atas pelaksanaan dari naskah
kesepahaman bersama atau nama lain.",Peraturan Menteri Nomor 2 Tahun 2021
Penyelenggaraan kewenangan operasional pengelolaan Investasi Pemerintah oleh Badan Investasi Pemerintah berbentuk satuan kerja sebagaimana dimaksud pada ayat (2) dilaksanakan berdasarkan Peraturan Pemerintah ini.,Peraturan Pemerintah Nomor 1 Tahun 2008
"Presiden atas usul Menteri dapat memberhentikan anggota Direksi sebelum masa jabatan berakhir dalam beberapa hal, antara lain: a. Mutasi jabatan untuk kepentingan Perusahaan dan Negara. b. Permintaan sendiri dari anggota Direksi. c. Melakukan tindakan atau bersikap yang merugikan Perusahaan. d. Melakukan tindakan atau bersikap yang bertentangan dengan kepentingan negara. e. Cacad fisik atau mental yang mengakibatkan tidak dapat melaksanakan tugasnya. f. Meninggal dunia.",Peraturan Pemerintah Nomor 8 Tahun 2007
